id,word,definition
179,Exclaim,Sudden emotion of surprise or horror.
180,Facilitate,Make it easier for someone to complete an action.
181,Fact,Something that can be proven to be true and is known to exist or to have happened.
182,Famine,Extreme lack of food - not enough for the people in the area.
183,Fatal,Something that results in death.
184,Faux,A fake item that is made to look like something more valuable.
185,Feeble,Physically weak and lacking in strength.
186,Feign,Pretend or fake an illness or appearance to deceive someone.
187,Fiasco,Something humiliating that fails completely.
188,Figment,An imaginative idea that seems real but is not.
189,Figurative,A metaphorical idea that is not based on a literal meaning.
190,Flamboyant,Attracts attention due to being striking and confident.
191,Flattering,Giving lots of praise as you want to get something from someone.
192,Flawed,"An imperfection in something, such as blemish or a fault."
193,Flawless,Something that is perfect and has no faults or problems.
194,Flee,To run away or to escape.
195,Fleet,A group of vehicles owned by an organisation.
196,Flimsy,Not made with substance and can be easily broken.
197,Flippant,A disrespectful attitude that doesn’t take things seriously.
198,Flora,Plants that can be found in a particular place.
199,Flourish,To grow healthily and thrive.
200,Foe,A competitor or opponent.
201,Forebear,An ancestor who lived in the past.
202,Forlorn,Lonely and feeling separation from loved ones.
203,Foundation,The basis that something is built upon.
204,Fragment,A small piece of something that has broken off from the whole.
205,Frail,Delicate and easily broken.
206,Frantic,Acting in an unorganised way and emotionally uncontrolled.
207,Fraud,Deceiving a person for your own gain.
208,Fraudulent,Acting in a way that is intended to trick someone.
209,Frequent,Happening regularly at short intervals.
210,Frightful,Something which causes intense fear.
211,Front,"The foremost part of a building, person or object."
212,Frugal,Careful with money and live without unnecessary items.
213,Fund,An amount of money saved for a specific purpose.
214,Fundamental,Something that is necessary - an essential basis or foundation.
215,Galvanise,To cause a person to suddenly take action through shock or excitement.
216,Garment,A piece of clothing.
217,Gauge,A way of measuring or calculating an amount.
218,Gilt,"Something that has gold, or something that looks like gold on its surface."
219,Glib,Speaking without thinking and often without honesty despite speaking confidently.
220,Gloomy,A poorly lit space that is dim.
221,Glutton,Eating too much regularly and being excessively greedy.
222,Grandeur,Something that is impressive in size and very grand.
223,Grate,Break something down by rubbing two things together.
224,Gregarious,Someone who is well liked and enjoys the company of others.
225,Grotesque,A comically strange and unpleasant character.
226,Gung-ho,Very enthusiastic and energetic.
227,Habitat,A place that a person or thing calls home.
228,Halt,To stop moving or going somewhere.
229,Hamper,To prevent or restrict movement for others.
230,Handsome,A physically attractive person.
231,Harass,To repeatedly put pressure on or bother a person resulting in them being unhappy.
232,Heed,To listen carefully and give something your attention.
233,Helter-Skelter,Acting in an unorganised manner and doing something in a rush.
234,Heroic,Acting bravely and showing determination.
235,Hierarchical,Arranged in an order of hierarchy to reflect importance.
236,Hierarchy,An organisational system that ranks things in terms of their importance.
237,Hindsight,Recognising and understanding something once it has already happened.
238,Hoax,Something that is fake and has been set up to deceive people.
239,Holiday,A break from the usual routine where you can do as you please.
240,Holler,To shout or call out loudly.
241,Humane,Having compassion and kindness towards others.
242,Hypothetical,What you think might happen but you don’t yet have the evidence to support this.
243,Idle,Being inactive or not being used.
244,Idol,Someone or something that is admired and respected.
245,Idyllic,Something that is beautiful and peaceful with little threat.
246,Immaculate,Something that is perfect and has no flaws.
247,Immerse,To be completely involved in something.
248,Impassive,Unresponsive and not showing any emotion towards what has happened.
249,Impede,Preventing a task from progressing or being completed.
250,Imperative,Urgent and requires immediate attention.
251,Inadequate,Not good enough or lacking in quality.
252,Incision,A cut in or through something caused by a sharp instrument.
253,Incline,A surface that is sloping upwards.
254,Inconsequential,Deemed low in importance and has little significance.
255,Incumbent,A person that holds a public office or an official post.
256,Identity,"What makes a person them, e.g. facts about them or personality traits."
257,Inequity,Something that is unfair or when bias has been seen.
258,Inert,Lacking strength and being unable to move.
259,Infantile,Something that happens to or is suitable for a child.
260,Inferior,Has a lower status or is deemed less important than something else.
261,Inhale,"Breathing inwards, taking air into your lungs."
262,Innocuous,Will cause no harm and is unlikely to upset anyone.
263,Insane,A state of mind that is not determined to be sound.
264,Insinuate,To suggest something but not directly say it.
265,Intangible,Something that is abstract and cannot be specifically described.
266,Interfere,To get involved in a situation you do not need to be part of.
267,Interrupt,To cause a break and stop an activity.
268,Inundate,To overwhelm and provide a large amount of things at the same time.
269,Ironic,Something having the opposite result of what was expected and causing humour.
270,Isolation,Cut off from others and completely alone.
271,Jargon,Terminology specific to a community that wouldn’t make sense out of context.
272,Jurisprudence,Studying the law.
273,Keel,To collapse or overturn.
274,Labour,Hard and physical work.
275,Labyrinth,A confusing maze made up of passages that are hard to navigate.
276,Lackadaisical,Lacking enthusiasm and having a lack of interest.
277,Lair,An often secluded place where a wild and potentially dangerous animal lives.
278,Lament,"Expressing sorrow, grief or mourning."
279,Languorous,Very still and lacking in mental or physical energy.
280,Latter,Towards or closer to the end of something than the beginning.
281,Lavish,Extravagant and more than is needed.
282,Liable,Having legal responsibility for something.
283,Libel,Inaccurate and damaging information that has been written about a person.
284,Liberate,Being free to make your own decisions and not under control of anyone else.
285,Liberty,Acting how you want and having the freedom to do so.
286,Lieu,In place of something else.
287,Limb,"A body part that comes from the body, e.g. an arm or leg."
288,Linger,To hang around in a place for a long period.
289,Litigation,Settling an argument between two people by taking it to court.
290,Lexis,The words that make up a language.
291,Lodge,A small habitat where you stay temporarily.
292,Lofty,High up and tall.
293,Louche,Something that is questionable and not very moral or reliable.
294,Loyal,Supporting and being faithful to something regardless of circumstance.
295,Lunar,Something that relates to or resembles the moon.
296,Magnanimous,Being kind or forgiving towards an enemy or competitor.
297,Magnetic,Something that strongly attracts something else.
298,Malefactor,A person who violated the law by carrying out illegal activity.
299,Malevolent,Acting in a cruel way and wishing harm or evil on another.
300,Malinger,Avoiding work by exaggerating or pretending you have an illness.
301,Meagre,A small amount - very little in quantity.
302,Meander,Winding and aimless course.
303,Meant,Expressing an intention a person had.
304,Measly,A very small amount which is too small for purpose.
305,Meek,Gentle and soft natured. Willing to go along with others and will not disagree.
306,Melodious,Something that sounds nice and follows a tune.
307,Mercy,Showing compassion that leads to forgiveness.
308,Mere,Emphasising how small and simple something is.
309,Meticulous,Very precise and taking a lot of care.
310,Mock,To tease or laugh at someone or something.
311,Monochrome,Not using colour - only shades of black and white.
312,Moral,The standards you have of what is right and wrong.
313,Mortal,Ordinary and will not live forever.
314,Muse,Inspiration for a person who is creating art.
315,Myriad,A very high quantity.
316,Neat,Ordered and in good condition.
317,Necessary,An essential requirement for a specific result.
318,Nemesis,Something that can’t be defeated and is always one step ahead.
319,Nirvana,A place of peace away from all suffering.
320,Nominal,A small cost.
321,Novice,New to an activity and has not experienced it before.
322,Oath,"A promise, often made in law, to tell the truth."
323,Objection,Disagreeing and having a differing opinion.
324,Oblique,On a slant or angle.
325,Obtuse,Not sharp or alert with understanding.
326,Obviate,To predict a challenge and remove it in advance.
327,Oppress,Burdening a person or group of people and making them feel uncomfortable.
328,Ostentatious,Seeking to impress people with your wealth and using this to attract attention.
329,Overt,Obvious and not concealed away.
330,Palpable,Something right in front of you that can be perceived.
331,Palpitate,Heartbeat that is not regular. Faster than usual and usually due to excitement or nerves.
332,Pandemonium,Noisy situation with no order.
333,Pander,To act sensitively towards someone and give them what they want.
334,Paradox,Something that seems true but cannot be possible.
335,Parallel,Two things running alongside each other staying the same distance apart.
336,Paraphrase,Reword something using less words or in your own words.
337,Parody,A humorous style of work.
338,Parsimonious,Strict with money - unwilling to spend a large amount.
339,Peculiar,Different to the norm and can be seen as strange.
340,Pensive,Thinking deeply and carefully about something.
341,Perambulate,To walk leisurely with no rush and no destination.
342,Perjury,To lie when giving a testimony under oath in court.
343,Perplexed,Completely confused and puzzled by something.
344,Persona,The way someone is perceived based on how they present themselves. This is usually different from their true character.
345,Pestilence,A serious epidemic that kills lots of people and spreads quickly.
346,Petty,Something of little significance and isn’t very important.
347,Petulant,Acting in a childish way and being irritated by something.
348,Picturesque,Beautiful to look at and looks like art.
349,Pioneer,One of the first people to do something.
350,Pivotal,An important and critical part of something that determines the outcome.
351,Placid,Very calm and laid back.
352,Platitude,Not very exciting and happens a lot.
353,Pleasing,Something agreeable that has an enjoyable outcome.
354,Pledge,A promise of something.
355,Plight,A bad situation that is often unpleasant and can be dangerous.
356,Plunge,To move something quickly and forcibly into something else.
357,Pragmatic,A sensible solution acting reasonably and logically.
358,Preposterous,Shocking news or behaviour that seems completely unreasonable.
359,Pompous,Displaying self-importance and having an elevated view of yourself over others.
360,Ponder,To think about something and consider it carefully.
361,Porous,Has lots of small holes that liquids and gases can pass through.
362,Posit,To present information as a fact or something that is assumed to be true.
363,Prattle,To talk for a long time in a childish way makes little sense.
364,Precocious,Being ahead of others for your age group developmentally.
365,Predator,An animal that kills and eats other animals for survival.
366,Prejudice,Having an opinion that might not be true without gaining all of the facts.
367,Presumptuous,Showing little respect by overstepping boundaries that have been set.
368,Pretence,A claim or false appearance to make people believe something.
369,Procure,To get or obtain something from someone else.
370,Profess,To declare something as true.
371,Profit,Money that is left over from a business after all the money you spent has been deducted.
372,Proportion,The amount of something in comparison to the whole.
373,Proverb,A short sentence or couple of sentences that share a story of advice.
374,Provoke,To cause someone to behave in an angry way.
375,Prudent,Acting carefully and thoughtfully.
376,Public,Not private and can be accessed by anyone.
377,Puncture,A small hole in something made by something sharp.
378,Quintessential,A normal and regular example of something.
379,Quiver,To shake due to emotions.
380,Ramble,A gentle walk for pleasure - often walking around aimlessly.
381,Ramification,The result of an event and the actions you might have to take due to this.
382,Ransack,Stealing from somewhere causing a mess as you search through for items to steal.
383,Rare,Something that is uncommon and does not happen or appear often.
384,Ratify,Signing something to agree with the terms set out.
385,Ravenous,Very hungry and needing to eat soon.
386,Recite,Speak something out loud from memory without using any notes.
387,Reel,A cylinder shape that is used for storing string.
388,Refuse,Denying and being unwilling to accept or participate in something.
389,Regurgitate,To repeat information that has been given to you.
390,Relish,To love doing something and enjoy the experience.
391,Remnant,A small part of something that is left over and unused.
392,Repel,To reject something and forcefully back away from it.
393,Repent,To be sorry and apologetic about something you have done.
394,Reproach,Disappointed in someone and blame them for a negative outcome.
395,Rhyme,Words that sound similar due to their ending sounds.
396,Rigmarole,A long and drawn out process that is complicated to complete.
397,Roam,To aimlessly wander from place to place.
398,Rogue,Dishonest and unpredictable.
399,Rowdy,A loud and boisterous environment or person.
400,Rubric,Instructions that are given about how something should be done.
401,Rural,An area away from built up areas like the city and more of a countryside environment.
402,Sacred,A holy object that should be respected.
403,Sacrifice,To give something up for something else.
404,Sane,Sensible and of a healthy mind.
405,Sarcasm,Using words in a humorous way to mock something.
406,Sarcastic,Mocking someone by using words in a humorous way to mean the opposite of what you are saying.
407,Scenic,Beautiful to look at and often natural.
408,Score,To earn a point in a game or competition against another person or team.
409,Seize,Take an opportunity either forcibly or with excitement.
410,Self-effacing,Not drawing attention to yourself and acting modestly.
411,Semantics,Understanding the meaning of something.
412,Seraph,An angel held in high regard.
413,Serenity,Being calm and peaceful without stress or worry.
414,Sermon,A religious speech often with sections of the Bible.
415,Shambolic,Disorganised and disastrous.
416,Shenanigans,Mischievous behaviour often to deceive someone.
417,Shrine,A place devoted to someone who is respected.
418,Shrink,To get smaller in size.
419,Significant,Something that is important and noticeable to others.
420,Simile,Comparing one thing to another using the words ‘like’ or ‘as’.
421,Simulacrum,A reputation or something or someone with something else.
422,Sincere,Honest and with genuine feelings or emotion.
423,Slacken,To loosen something and make it less intense.
424,Slander,Speak negatively about someone and damage their reputation. The information given is usually untrue.
425,Slang,Informal type of language that can be specific to an area or group of people.
426,Sleek,Something that has a smooth and good appearance.
427,Sly,Acting in a cunning and deceptive manner.
428,Solitude,Lonely and isolated with little socialisation.
429,Sombre,Having a deep sadness.
430,Sonnet,A 14 line verse written in a particular pattern and rhythm.
431,Sow,Plant seeds to grow and produce food.
432,Special,Not something you would see every day and has a greater purpose.
433,Spiteful,Acting in a nasty way to upset or hurt another person.
434,Squabble,An argument about something unimportant.
435,Squalor,Living conditions that are dirty and unpleasant.
436,Stagnant,A pool of water that is standing still and not flowing.
437,Stance,Someone's position or view on something.
438,Stanza,A paragraph or group of lines in a poem.
439,Static,Something that is staying still and not having any changes.
440,Status,quo The current situation and the way things are.
441,Stoical,Never showing your feelings
442,Stoop,To bend over and have slouched head and shoulders.
443,Stout,Something that is thick and is very strong.
444,Stretched,Something that is pulled to its limit and can’t handle any more pressure.
445,Stubborn,Set in their way and unwilling to try anything other than what they want.
446,Subterranean,Something that exists out of sight under the earth’s surface.
447,Succinct,Straight to the point and clear in meaning.
448,Succumb,To give in to something and stop resisting.
449,Sufficient,Something that is good enough and will be enough for the purpose.
450,Summit,The top of or the highest part.
451,Supercilious,Thinking you are above others and acting in a way that reflects this.
452,Superfluous,Something that is excessive and is a lot more than is required.
453,Superior,Better than something else or of higher status.
454,Surmount,To overcome a challenge you have been having.
455,Suspect,"A person who is thought to have committed a crime, however, this hasn’t been confirmed."
456,Susurration,"A small stirring sound, like a whisper."
457,Sycophant,A person that flatters those of higher status to try and gain from them.
458,Symbol,A mark or sign that represents something else.
459,Symmetry,Something that has two matching halves.
460,Taint,A small amount of something bad in something else.
461,Tardy,Running slow and arriving later than expected.
462,Taut,Pulled tight.
463,Temptation,The desire to do something you know you shouldn’t.
464,Tentative,Hesitant to do something as you are unsure.
465,Thrust,Suddenly push something in a specific direction.
466,Tomorrow,The day that follows the day you are currently on.
467,Tranquil,Peaceful and calm. A place where you will not be disturbed.
468,Transcendent,Goes beyond the normal limits and exceeds everything you thought possible.
469,Trivia,Small bits of information that are not important.
470,Twilight,As the sun is setting just before it gets completely dark.
471,Tyrant,A ruler who leads in their own way without law and often in a cruel way.
472,Ubiquitous,Seeming to appear everywhere at the same time.
473,Uncaring,Having a lack of interest and concern towards something.
474,Uniform,Something that is regular and always remains the same.
475,Union,Joining a group of things together to make one.
476,Universal,Something that applies to everyone everywhere.
477,Unorthodox,Something that is different to the traditional or expected way of doing things.
478,Unrequited,Giving something but not having it returned.
479,Untoward,Something unexpected and unfortunate.
480,Valiantly,Acting with determination and persevering when something is difficult.
481,Vapour,Small drops of liquid that appear as a cloud.
482,Vast,Very big.
483,Vaticinate,Make a prediction about what is going to happen in the future.
484,Veil,A thin piece of material used to cover the face.
485,Ventilation,The circulation of fresh air.
486,Vessel,A boat or a ship that is large in size.
487,Vicarious,Experiencing things through another person.
488,Vile,Very unpleasant.
489,Vixen,A female fox.
490,Voluminous,Something that is very large and bulky.
491,Weary,Feeling tired either mentally or physically.
492,Weird,Something unusual and different to what is expected.
493,Whimsical,Something that is playful and unpredictable. Often impractical.
494,Whinging,Persistently complaining about something small.
495,Wholesome,Something good for you that can improve your life.
496,Wilful,Intentionally carrying out a damaging act.
497,Wistful,Longing for something from the past.
498,Wit,Being sharp and clever with words.
499,Wither,Drying up and disappearing.
500,Witticism,A witty comment.
501,Witty,Being quick and clever with words for a humorous effect.
502,Worthy,Having value and being deserving of something.
503,Wound,An open injury to your body.
504,Yacht,A boat that is often used for sailing.
505,Yield,The amount of produce that is created.
506,Zestful,Having a lot of enthusiasm.
507,Zeitgeist,The opinions and beliefs people have at a specific period in time.
